name,state,state_code
Pacific States University,California,CA
Pacific Union College,California,CA
Pacific University,Oregon,OR
Paier College of Art,Connecticut,CT
Paine College,Georgia,GA
Palm Beach Atlantic University,Florida,FL
Palm Beach State College,Florida,FL
Palo Alto College,Texas,TX
Palo Verde College,California,CA
Palomar College,California,CA
Pamlico Community College,North Carolina,NC
Panola College,Texas,TX
Paradise Valley Community College,Arizona,AZ
Paris Junior College,Texas,TX
Park University,Missouri,MO
Parkland College,Illinois,IL
Parsons The New School for Design,New York,NY
Pasadena City College,California,CA
Pasco-Hernando State College,Florida,FL
Passaic County Community College,New Jersey,NJ
Patrick Henry College,Virginia,VA
Patrick Henry Community College,Virginia,VA
Paul D. Camp Community College,Virginia,VA
Paul Quinn College,Texas,TX
Paul Smith's College,New York,NY
Pearl River Community College,Mississippi,MS
Peirce College,Pennsylvania,PA
Pellissippi State Community College,Tennessee,TN
Peninsula College,Washington,WA
Penn Commercial Business and Technical School,Pennsylvania,PA
Penn State Abington,Pennsylvania,PA
Penn State Altoona,Pennsylvania,PA
Penn State Beaver,Pennsylvania,PA
Penn State Berks,Pennsylvania,PA
Penn State Brandywine,Pennsylvania,PA
Penn State DuBois,Pennsylvania,PA
"Penn State Erie, The Behrend College",Pennsylvania,PA
